seed,T1_ospa2d,T1_compl,T1_amb,T1_spur,T1_pa2d,T1_va2d,T1_t2t,T2_ospa2d,T2_compl,T2_amb,T2_spur,T2_pa2d,T2_va2d,T2_t2t,Tf_ospa2d,Tf_compl,Tf_amb,Tf_spur,Tf_pa2d,Tf_va2d,Tf_t2t,T1_ospa3d,T1_pa3d,T1_va3d,Tf_ospa3d,Tf_pa3d,Tf_va3d,radar_ntracks,rfdoa_ntracks,fused_ntracks
521,24.689222003641213,0.72,1.0,0.25259515570934254,17.406398353078316,3.762757724922074,0.9633333333333334,48.42605819235358,0.043333333333333335,1.0,0.975609756097561,16.51292507044339,9.353118942248159,1.7766666666666666,35.29602208514302,0.39,1.0,0.5821428571428572,20.989421274295267,5.325564872686611,0.9333333333333333,45.165731419357414,37.403759797564376,5.173638611509255,89.57943301739358,83.97925425091769,5.716094996424435,2,2,1
512,35.226368366953125,0.4166666666666667,1.0,0.3932038834951456,14.927025323823413,3.726297611255187,0.6866666666666666,48.220930638367896,0.03333333333333333,1.0,0.9408284023668639,18.89164635176028,5.184037569759594,0.5633333333333334,41.7425363548001,0.19333333333333333,1.0,0.6647398843930635,13.128889141789882,3.995092479127532,0.5766666666666667,75.40608551633521,49.59352817699282,7.3085930635553265,84.68834483079941,56.52254170787919,6.248826508999152,3,1,3
369,40.726952454106204,0.25666666666666665,1.0,0.28703703703703703,15.480424278888284,3.9850509789125526,0.36,nan,nan,nan,nan,nan,nan,nan,43.9076600157124,0.16333333333333333,1.0,0.3717948717948718,17.43570100313612,3.4696474344400676,0.26,87.50090639454847,54.29722813126038,6.90892502395336,93.20394550605528,64.2312921371331,6.068730181146076,2,0,2
693,42.92368614954931,0.19666666666666666,1.0,0.5083333333333333,21.59623021443933,3.876264411311072,0.4,nan,nan,nan,nan,nan,nan,nan,44.10125316090105,0.16333333333333333,1.0,0.5333333333333333,21.90391312712419,3.4674466860052924,0.35,80.10024117474804,49.40739281715603,5.709205132715156,83.16168039096345,50.95635065329159,5.237123123932256,1,0,1
41,22.56747922855734,0.78,1.0,0.20945945945945946,17.1873513449754,3.1503221433720117,0.9866666666666667,42.06848485999013,0.25333333333333335,1.0,0.8194774346793349,19.013676579031134,4.821568719129883,1.4033333333333333,23.985703366249382,0.7033333333333334,1.0,0.23550724637681159,15.389410384176799,3.3689866606813967,0.92,36.71420211190527,33.980189207361256,4.245908921895984,41.047406580132225,34.97875725749879,4.248903760158234,1,2,1
321,28.04163093702849,0.6233333333333333,1.0,0.3987138263665595,16.552970639843245,4.519929113911607,1.0366666666666666,nan,nan,nan,nan,nan,nan,nan,31.571786681432926,0.47,1.0,0.40756302521008403,15.521681006289585,4.11211848979304,0.7933333333333333,58.968165483510965,48.05799246764727,6.622755679650754,63.213546035018396,46.70869709128856,5.955163345141115,3,0,3
159,28.2830987002149,0.5933333333333334,1.0,0.288,15.82901196289501,3.3569871706537255,0.8333333333333334,45.880493652035916,0.17,1.0,0.8768115942028986,20.67566957068767,5.55077118882914,1.38,31.810193371545633,0.49666666666666665,1.0,0.3165137614678899,16.31604888113516,3.890223872719308,0.7266666666666667,56.26852886962353,40.471879280387896,5.379886955844998,55.816301205856995,35.34092859393706,5.083218475916482,2,2,1
147,35.23896008345405,0.38666666666666666,1.0,0.4889867841409692,19.07355935420749,4.120189284559822,0.7566666666666667,47.038123839473236,0.06,1.0,0.9504132231404959,16.95087706438514,4.802268537171211,1.21,36.665711980473446,0.35333333333333333,1.0,0.537117903930131,18.743264582454206,4.240772177110836,0.7633333333333333,61.982887914259955,43.538942446920736,6.518490676635996,64.77860551410716,44.678437980272996,5.6714671808734805,1,2,1
156,32.28043543713667,0.4266666666666667,1.0,0.43859649122807015,16.90409797619083,3.3167090091084845,0.76,42.58631626352664,0.19666666666666666,1.0,0.7389380530973452,18.810699976743134,4.11748197958307,0.7533333333333333,33.47985969929937,0.44,1.0,0.38028169014084506,18.45972852876333,3.4903137031954072,0.71,52.98297076359661,37.62462071467408,4.6271432287133525,57.073446734967774,38.67635247852538,4.790769554602736,1,1,1
30,35.8525419636666,0.36333333333333334,1.0,0.4784688995215311,17.147819827303426,4.4819413146764955,0.6966666666666667,41.81508952491697,0.19333333333333333,1.0,0.6352201257861635,18.641912858905933,4.621156974412485,0.53,37.50078008536918,0.32666666666666666,1.0,0.44,16.34226963562481,4.057028263508388,0.5833333333333334,62.61196984795505,36.60291526882811,6.328822534688939,66.38980247541055,34.95111724517971,5.714898482704449,2,1,2
18,34.49259771822046,0.42333333333333334,1.0,0.33157894736842103,18.191662427223072,3.7346970871267358,0.6333333333333333,nan,nan,nan,nan,nan,nan,nan,35.897242092104555,0.36666666666666664,1.0,0.34911242603550297,17.423045580422862,3.5652701028659304,0.5633333333333334,61.60078113440344,38.48389205637988,5.18218645826968,64.89974355585618,35.7922138216881,4.556804669365158,1,0,1
188,42.293150122516664,0.20333333333333334,1.0,0.3645833333333333,17.075657628317092,3.8626676546923155,0.32,nan,nan,nan,nan,nan,nan,nan,43.993705054681435,0.16666666666666666,1.0,0.375,18.850994929663685,3.988643965409843,0.26666666666666666,84.95771074917836,46.277538389922725,5.647492318890149,87.71139764975669,49.498894451054916,4.862595490018867,1,0,1
47,12.454557392325217,0.97,1.0,0.03,11.669029487498571,3.4340978874974555,1.0,42.09397721735884,0.26,1.0,0.8414634146341463,16.11920977070964,4.499444114665189,1.64,15.032701348752383,0.9166666666666666,1.0,0.017857142857142856,11.99690117904021,3.420110001627434,0.9333333333333333,29.769880261678505,28.786945350154095,4.123989067225975,33.52169758112002,28.773247408342872,4.020106943095652,1,2,1
391,38.174333050000456,0.31666666666666665,1.0,0.3870967741935484,18.17628352430178,4.097781751467882,0.5166666666666667,nan,nan,nan,nan,nan,nan,nan,39.626577062063745,0.27666666666666667,1.0,0.39855072463768115,17.732645063904137,3.5318414854402094,0.46,76.11822834606161,47.72759183352667,6.303541543934096,78.15391042169352,45.57171421298945,4.7163135095104955,1,0,1
190,16.86517582763292,0.84,1.0,0.1870967741935484,12.446609365796101,3.657185244149115,1.0333333333333334,47.37221272671668,0.06,1.0,0.955,22.844199813486522,6.37870928363378,1.3333333333333333,30.176587142345063,0.5133333333333333,1.0,0.45390070921985815,14.150839024961611,4.40361507627622,0.94,40.23670526018479,34.31305073821265,5.002976313845842,77.51590322636741,64.05441357094541,6.34995320856469,2,2,2
900,22.53758795070347,0.77,1.0,0.18085106382978725,17.310296672396035,3.327262979648803,0.94,45.604170288254466,0.09,1.0,0.8865546218487395,18.59298256414127,4.860878304370384,0.7933333333333333,28.73611497782563,0.54,1.0,0.39097744360902253,17.44967356306313,3.227825188134058,0.8866666666666667,49.441196547395414,42.427057313093385,4.771073361963635,56.49536112416843,46.62420915192374,4.491328989684175,1,1,1
902,26.378282579196167,0.66,1.0,0.25842696629213485,17.12850278029952,3.703279157083306,0.89,40.5183504509391,0.23,1.0,0.764505119453925,17.700860683284947,5.237911297756722,0.9766666666666667,29.093522295175134,0.5866666666666667,1.0,0.3669064748201439,17.434877337714738,3.687025131867196,0.9266666666666666,41.36092686530027,33.3646896196594,4.653141576277514,48.58455259854159,34.64138042187491,4.536101444578291,1,1,1
903,47.688325851217854,0.07,1.0,0.4166666666666667,21.005556271475932,5.5229595933988005,0.12,nan,nan,nan,nan,nan,nan,nan,48.91021392171249,0.03,1.0,0.5263157894736842,18.795814156469316,6.0852294539248435,0.06333333333333334,94.50374565253043,43.216511350468394,8.54842858233938,96.39845492018904,43.13349873982695,7.306054912135531,1,0,1
904,34.77145899503462,0.39,1.0,0.4,16.68578252399405,3.61335854705128,0.65,nan,nan,nan,nan,nan,nan,nan,36.18035439147855,0.37,1.0,0.37988826815642457,17.109977234028047,3.1677087485247477,0.5966666666666667,69.57244750093106,48.509561306032595,5.626430497581551,73.80512368201796,51.49096978151473,4.935475003096983,1,0,1
905,43.52996576581785,0.15666666666666668,1.0,0.5648148148148148,19.279558854129334,5.012494707935481,0.36,nan,nan,nan,nan,nan,nan,nan,44.39337336947626,0.15333333333333332,1.0,0.4888888888888889,19.986701259138222,5.221700612216606,0.3,87.25845316152584,49.57332995815756,7.728526118379682,88.82576180405651,49.00080486546509,7.166718902153737,1,0,1
